               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091646,            0.021799,            0.038243,           0.0012505,             0.39932,           0.0018947,          0.00043939,            0.077526,             0.01713,            0.038719,            0.070385,           0.0032906,           0.0032906
                   1,            0.077263,            0.017678,            0.030694,           0.0011667,             0.32681,           0.0095852,           0.0025484,             0.07116,            0.013134,            0.032347,            0.040253,           0.0064928,           0.0064928
                   2,            0.075943,            0.015831,            0.027474,           0.0016639,             0.39468,           0.0076974,           0.0018033,            0.065562,             0.01179,            0.028573,           0.0099903,            0.009563,            0.009563
                   3,            0.061194,            0.013455,            0.022189,            0.001495,             0.31816,            0.013431,           0.0024983,            0.062897,            0.011078,            0.029373,            0.009406,            0.009406,            0.009406
                   4,             0.06302,            0.016311,            0.020965,          0.00090904,             0.21787,            0.020919,           0.0056896,            0.065472,            0.010188,               0.028,            0.009406,            0.009406,            0.009406
                   5,            0.057266,            0.015354,            0.017706,           0.0024651,             0.57302,            0.049196,            0.014916,            0.051308,            0.012002,            0.028243,            0.009208,            0.009208,            0.009208
                   6,            0.056127,            0.015045,            0.020095,             0.77721,             0.13077,            0.065244,            0.017308,            0.052172,            0.011542,            0.027506,             0.00901,             0.00901,             0.00901
                   7,            0.057177,            0.013849,            0.018289,             0.78736,            0.087848,            0.045715,            0.012071,            0.052172,            0.010931,            0.024417,            0.008812,            0.008812,            0.008812
                   8,            0.058727,            0.013422,            0.016519,             0.79137,                0.05,            0.055758,            0.019017,            0.056492,            0.010099,            0.023603,            0.008614,            0.008614,            0.008614
                   9,            0.056106,            0.013296,            0.016303,             0.78776,            0.088462,            0.060867,            0.011803,            0.057769,            0.010245,            0.021243,            0.008416,            0.008416,            0.008416
                  10,            0.054049,            0.012719,            0.013367,             0.69453,             0.15598,             0.12344,            0.042911,             0.04999,            0.010534,            0.021095,            0.008218,            0.008218,            0.008218
                  11,            0.050294,            0.013478,            0.016566,             0.79022,              0.1706,             0.12675,            0.042404,            0.048476,            0.010412,            0.018626,             0.00802,             0.00802,             0.00802
                  12,            0.050624,            0.013227,            0.015166,             0.76835,               0.168,            0.090418,            0.030044,            0.050187,            0.010076,            0.018846,            0.007822,            0.007822,            0.007822
                  13,            0.051814,            0.012631,            0.014627,             0.79238,             0.14231,             0.12624,             0.03881,            0.047363,            0.010324,            0.016557,            0.007624,            0.007624,            0.007624
                  14,            0.048256,            0.013598,            0.014491,             0.82341,             0.11154,             0.13001,            0.042763,            0.047458,            0.010037,            0.019587,            0.007426,            0.007426,            0.007426
                  15,            0.049867,            0.012328,            0.013692,             0.83848,             0.10325,             0.12957,            0.040615,            0.047243,           0.0098973,            0.019964,            0.007228,            0.007228,            0.007228
                  16,            0.049508,            0.012842,            0.015248,             0.83221,             0.11538,             0.10961,            0.037971,             0.04603,           0.0099906,            0.019338,             0.00703,             0.00703,             0.00703
                  17,            0.045481,            0.012391,             0.01198,             0.67626,             0.19279,             0.22425,            0.064511,             0.04676,           0.0096754,            0.018496,            0.006832,            0.006832,            0.006832
                  18,            0.041401,             0.01099,            0.012019,             0.75794,             0.21787,             0.21145,             0.08376,            0.046525,           0.0095211,            0.017002,            0.006634,            0.006634,            0.006634
                  19,            0.047712,            0.013504,              0.0144,             0.67307,             0.19095,             0.17173,             0.05579,            0.047111,           0.0093326,            0.015494,            0.006436,            0.006436,            0.006436
                  20,             0.04447,            0.010626,            0.011143,             0.86605,                 0.1,              0.1568,            0.052172,             0.04811,            0.009555,            0.017474,            0.006238,            0.006238,            0.006238
                  21,            0.043504,            0.012091,             0.01124,             0.61557,             0.17624,             0.15446,            0.053291,            0.046622,           0.0096635,            0.017883,             0.00604,             0.00604,             0.00604
                  22,            0.046474,             0.01278,            0.011446,             0.65435,              0.2319,             0.15069,            0.053683,            0.046527,           0.0093854,            0.014913,            0.005842,            0.005842,            0.005842
                  23,            0.042676,            0.010258,           0.0089146,              0.7137,             0.21719,             0.16642,            0.054238,              0.0457,           0.0090819,            0.015017,            0.005644,            0.005644,            0.005644
                  24,             0.04861,            0.011811,           0.0093382,             0.63331,             0.21719,             0.15758,            0.055694,            0.047469,           0.0093569,            0.013938,            0.005446,            0.005446,            0.005446
                  25,            0.045332,            0.011208,            0.011416,             0.63182,             0.21335,             0.18889,            0.073728,            0.044826,           0.0092389,            0.012555,            0.005248,            0.005248,            0.005248
                  26,            0.044336,            0.012092,            0.010405,             0.68955,             0.24276,             0.19484,            0.071599,            0.045035,           0.0090801,            0.011519,             0.00505,             0.00505,             0.00505
                  27,            0.043072,           0.0099683,           0.0095581,             0.68645,             0.25814,             0.19839,            0.077664,            0.043387,           0.0090737,            0.012255,            0.004852,            0.004852,            0.004852
                  28,            0.046757,            0.010989,           0.0095603,              0.7605,             0.22165,             0.20588,            0.083183,            0.045836,            0.008947,            0.012812,            0.004654,            0.004654,            0.004654
                  29,            0.041932,            0.011121,            0.010664,             0.69144,             0.23891,             0.20649,            0.079067,            0.045018,           0.0090532,            0.014214,            0.004456,            0.004456,            0.004456
                  30,            0.045792,            0.013185,           0.0087789,             0.75199,             0.19344,             0.21466,            0.069536,            0.045653,           0.0090075,            0.013406,            0.004258,            0.004258,            0.004258
                  31,            0.042048,            0.010596,           0.0092483,             0.71975,             0.22285,             0.23953,            0.086294,            0.045319,           0.0090835,            0.011502,             0.00406,             0.00406,             0.00406
                  32,            0.037485,           0.0098881,           0.0088002,              0.7655,             0.23824,             0.26124,             0.10127,            0.043963,           0.0091245,            0.010982,            0.003862,            0.003862,            0.003862
                  33,            0.038088,            0.010311,           0.0086963,             0.77912,             0.23439,             0.23631,            0.090547,            0.044393,           0.0090776,            0.010993,            0.003664,            0.003664,            0.003664
                  34,            0.043357,            0.012606,           0.0072287,             0.77006,             0.25121,             0.23287,            0.084513,            0.044336,           0.0090815,            0.010995,            0.003466,            0.003466,            0.003466
                  35,            0.041536,            0.010635,           0.0061347,             0.75875,             0.24525,             0.24319,             0.07413,            0.045061,           0.0089187,            0.011306,            0.003268,            0.003268,            0.003268
                  36,            0.040272,            0.010509,           0.0083714,             0.70618,             0.27602,             0.25881,            0.085343,            0.044575,           0.0089002,            0.011271,             0.00307,             0.00307,             0.00307
                  37,            0.040109,            0.010025,            0.010657,             0.67932,             0.29072,             0.29682,             0.12451,            0.045552,           0.0089789,            0.010574,            0.002872,            0.002872,            0.002872
                  38,            0.037452,           0.0099941,           0.0072072,             0.71663,             0.32155,             0.27207,               0.102,            0.044467,           0.0088971,            0.010516,            0.002674,            0.002674,            0.002674
                  39,            0.039885,            0.011709,           0.0092523,             0.69751,             0.30543,              0.2903,             0.12437,            0.044554,           0.0088805,             0.01095,            0.002476,            0.002476,            0.002476
                  40,            0.037556,            0.010619,           0.0071422,             0.45214,             0.26411,             0.25402,              0.1057,            0.044944,           0.0090443,            0.012297,            0.002278,            0.002278,            0.002278
                  41,            0.038921,            0.011791,            0.006044,             0.49114,             0.34236,             0.25189,            0.095556,            0.044988,           0.0090814,            0.013559,             0.00208,             0.00208,             0.00208
                  42,            0.037772,           0.0095208,           0.0071957,              0.5153,             0.34061,             0.26043,            0.097461,             0.04489,           0.0092092,            0.014295,            0.001882,            0.001882,            0.001882
                  43,            0.035092,            0.010437,           0.0068229,             0.56848,             0.35322,             0.27728,              0.1091,            0.044616,           0.0091391,            0.013315,            0.001684,            0.001684,            0.001684
                  44,            0.037039,            0.010713,           0.0060452,             0.47492,             0.30855,             0.26147,            0.095383,            0.044545,           0.0090842,            0.012397,            0.001486,            0.001486,            0.001486
                  45,            0.039827,            0.010589,           0.0062999,              0.4583,             0.28365,             0.25902,             0.09752,            0.044306,           0.0090142,            0.012684,            0.001288,            0.001288,            0.001288
                  46,            0.037533,            0.010216,           0.0079965,             0.47763,             0.30171,             0.24797,            0.090774,            0.043952,           0.0090632,            0.012744,             0.00109,             0.00109,             0.00109
                  47,            0.034348,            0.010424,           0.0072757,             0.43228,             0.28371,             0.24536,            0.094262,            0.043848,           0.0089183,            0.012244,            0.000892,            0.000892,            0.000892
                  48,            0.038414,            0.011313,           0.0065642,             0.53322,             0.26448,             0.25305,             0.10444,            0.043837,            0.008923,             0.01245,            0.000694,            0.000694,            0.000694
                  49,            0.036431,            0.010177,           0.0072426,             0.52595,              0.3465,             0.27033,             0.10863,            0.043032,           0.0089737,            0.013442,            0.000496,            0.000496,            0.000496
