               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10531,            0.069771,            0.043205,             0.77063,            0.021597,           0.0094688,           0.0022656,            0.089455,            0.033266,             0.03563,             0.07016,           0.0033156,           0.0033156
                   1,            0.082721,            0.081328,            0.032971,             0.80043,            0.057566,             0.03706,            0.011575,            0.073756,            0.032707,             0.02817,            0.039501,           0.0059907,           0.0059907
                   2,            0.075247,            0.085439,            0.030584,             0.79911,            0.088816,            0.071276,            0.029582,            0.069349,            0.029864,            0.027073,           0.0081831,           0.0080058,           0.0080058
                   3,            0.069791,            0.081419,            0.029489,             0.60759,             0.14615,            0.096372,            0.030755,            0.062634,            0.029099,            0.025922,             0.00703,             0.00703,             0.00703
                   4,            0.065291,            0.080278,            0.029004,             0.38013,             0.15836,             0.13065,            0.047477,            0.058462,            0.028673,            0.025385,             0.00703,             0.00703,             0.00703
                   5,            0.062989,            0.082101,            0.028481,             0.70463,             0.14826,             0.16235,            0.060174,            0.057113,            0.028522,            0.023369,             0.00604,             0.00604,             0.00604
                   6,             0.06118,            0.081854,            0.027662,             0.63423,             0.14262,             0.12505,            0.040132,            0.058078,            0.028658,            0.022708,             0.00505,             0.00505,             0.00505
                   7,            0.060264,             0.08212,            0.026685,             0.73258,             0.16283,             0.17639,            0.063706,            0.055893,            0.028436,            0.021481,             0.00406,             0.00406,             0.00406
                   8,            0.058061,            0.082255,            0.025758,               0.785,             0.14638,             0.17987,            0.062255,            0.055592,             0.02849,            0.020343,             0.00307,             0.00307,             0.00307
                   9,            0.058519,            0.081715,            0.025446,              0.5035,              0.1734,             0.19836,            0.065783,            0.055393,            0.028123,             0.01954,             0.00208,             0.00208,             0.00208
