               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091646,            0.021799,            0.038243,           0.0012505,             0.39932,           0.0018947,          0.00043939,            0.077526,             0.01713,            0.038719,            0.070385,           0.0032906,           0.0032906
                   1,            0.077432,            0.017772,            0.030878,           0.0010817,             0.30758,           0.0097706,           0.0023993,            0.071171,            0.013356,            0.032533,            0.039729,           0.0059682,           0.0059682
                   2,            0.076404,             0.01597,             0.02785,           0.0011786,             0.30662,            0.003584,          0.00072405,            0.065717,            0.012003,            0.028692,           0.0084131,           0.0079857,           0.0079857
                   3,            0.061148,            0.013831,             0.02252,           0.0014549,             0.31431,           0.0058433,           0.0013286,            0.066107,            0.010867,            0.028564,             0.00703,             0.00703,             0.00703
                   4,            0.062086,            0.016837,            0.021074,           0.0019781,             0.43247,            0.053216,            0.015535,             0.05984,             0.01127,            0.027841,             0.00703,             0.00703,             0.00703
                   5,            0.054971,            0.016103,            0.017946,           0.0024597,             0.56216,            0.060086,            0.020113,            0.050651,            0.012051,            0.028991,             0.00604,             0.00604,             0.00604
                   6,            0.054905,             0.01558,            0.020801,              0.5052,             0.21923,            0.085631,              0.0248,            0.049591,            0.011846,            0.028267,             0.00505,             0.00505,             0.00505
                   7,            0.054015,            0.014734,            0.019238,             0.78811,             0.13846,            0.085969,            0.028129,            0.048132,            0.011668,            0.026927,             0.00406,             0.00406,             0.00406
                   8,            0.055927,            0.014454,            0.017295,             0.78263,             0.13077,            0.078713,            0.027502,            0.050126,            0.011181,             0.02606,             0.00307,             0.00307,             0.00307
                   9,            0.054668,             0.01414,            0.018181,             0.78621,             0.11923,            0.096014,            0.031432,            0.049248,            0.011129,            0.023296,             0.00208,             0.00208,             0.00208
